id,po_id,carrier,container_no,planned_departure,planned_arrival,predicted_arrival,predicted_confidence,prediction_basis,current_stage,version,updated_at
215,215,CMA CGM,MAEU2264244,2026-04-11,2026-05-06,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
216,216,Evergreen,MAEU8275289,2026-05-09,2026-06-08,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
217,217,CMA CGM,MAEU0532084,2026-03-28,2026-04-27,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
218,218,CMA CGM,MAEU3340674,2026-01-04,2026-02-15,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
219,219,CMA CGM,MAEU7761697,2025-12-08,2026-01-08,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
220,220,Maersk,MAEU3802038,2025-09-16,2025-10-18,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
221,221,ONE,MAEU4368341,2026-01-20,2026-03-05,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
222,222,Evergreen,MAEU1303540,2026-03-02,2026-03-27,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
223,223,Evergreen,MAEU9529221,2026-02-10,2026-03-26,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
224,224,Maersk,MAEU7976801,2025-12-06,2026-01-07,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
225,225,Maersk,MAEU6860415,2025-11-29,2025-12-24,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
226,226,CMA CGM,MAEU6597585,2026-05-10,2026-06-13,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
227,227,CMA CGM,MAEU7061000,2025-12-31,2026-02-06,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
228,228,CMA CGM,MAEU4927968,2026-07-29,2026-08-28,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
229,229,Evergreen,MAEU6551250,2026-02-24,2026-04-02,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
230,230,Maersk,MAEU9309692,2025-09-21,2025-10-21,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
231,231,Maersk,MAEU5838749,2026-01-06,2026-02-17,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
232,232,ONE,MAEU4694075,2025-10-20,2025-11-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
233,233,ONE,MAEU7911612,2026-02-08,2026-03-11,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
234,234,CMA CGM,MAEU0130443,2026-05-22,2026-06-30,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
235,235,Maersk,MAEU4402411,2026-02-06,2026-03-10,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
236,236,ONE,MAEU2060490,2026-06-03,2026-07-03,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
237,237,Evergreen,MAEU7950762,2025-11-27,2025-12-24,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
238,238,ONE,MAEU2232940,2026-05-23,2026-06-19,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
239,239,Maersk,MAEU0727906,2025-11-19,2025-12-31,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
240,240,Evergreen,MAEU4488191,2026-06-26,2026-07-26,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
241,241,CMA CGM,MAEU1126639,2025-11-15,2025-12-19,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
242,242,Maersk,MAEU9112759,2026-06-02,2026-07-02,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
243,243,Evergreen,MAEU8741625,2025-12-30,2026-01-26,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
244,244,Evergreen,MAEU1702324,2026-03-13,2026-04-07,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
245,245,CMA CGM,MAEU8130688,2025-10-06,2025-11-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
246,246,Maersk,MAEU9338353,2026-05-21,2026-06-29,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
247,247,CMA CGM,MAEU6398827,2026-03-30,2026-04-24,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
248,248,ONE,MAEU0583609,2026-06-28,2026-08-01,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
249,249,Evergreen,MAEU9996865,2025-12-24,2026-01-23,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
250,250,Maersk,MAEU2263033,2026-05-28,2026-06-27,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
251,251,Maersk,MAEU0228360,2025-10-13,2025-11-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
252,252,Maersk,MAEU9384049,2025-11-14,2025-12-11,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
253,253,CMA CGM,MAEU2402902,2026-06-17,2026-07-21,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
254,254,Evergreen,MAEU2609838,2026-08-10,2026-09-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
255,255,Maersk,MAEU8401699,2026-08-16,2026-09-10,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
256,256,Maersk,MAEU6904408,2026-04-04,2026-05-18,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
257,257,Maersk,MAEU9897409,2026-05-08,2026-06-19,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
258,258,Maersk,MAEU8309015,2025-09-17,2025-10-21,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
259,259,Evergreen,MAEU1989359,2025-09-26,2025-10-28,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
260,260,CMA CGM,MAEU7993411,2025-11-05,2025-12-14,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
261,261,CMA CGM,MAEU9932866,2026-03-16,2026-04-19,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
262,262,ONE,MAEU3579628,2026-05-13,2026-06-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
263,263,Maersk,MAEU0162610,2026-02-27,2026-04-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
264,264,CMA CGM,MAEU5045168,2026-06-27,2026-08-08,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
265,265,Maersk,MAEU0039889,2026-06-28,2026-07-28,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
266,266,Evergreen,MAEU7844405,2025-09-14,2025-10-11,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
267,267,Evergreen,MAEU0229557,2026-02-18,2026-03-24,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
268,268,ONE,MAEU0932572,2026-04-14,2026-05-14,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
269,269,ONE,MAEU2124618,2025-11-16,2025-12-11,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
270,270,Evergreen,MAEU7264167,2026-07-17,2026-08-23,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
271,271,CMA CGM,MAEU2543626,2026-04-02,2026-04-29,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
272,272,CMA CGM,MAEU2787755,2026-06-16,2026-07-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
273,273,ONE,MAEU9003126,2025-11-17,2025-12-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
274,274,Evergreen,MAEU1893256,2026-06-30,2026-08-08,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
275,275,Maersk,MAEU8348847,2026-01-18,2026-02-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
276,276,Evergreen,MAEU7838651,2025-10-19,2025-11-30,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
277,277,Maersk,MAEU1361239,2025-09-28,2025-10-28,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
278,278,Maersk,MAEU0882170,2026-08-17,2026-09-13,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
279,279,ONE,MAEU6702535,2026-03-24,2026-04-23,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
280,280,Evergreen,MAEU3554324,2026-07-31,2026-09-11,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
281,281,CMA CGM,MAEU9782484,2025-12-24,2026-01-23,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
282,282,CMA CGM,MAEU9798698,2026-02-20,2026-03-29,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
283,283,CMA CGM,MAEU3355536,2026-07-05,2026-08-04,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
284,284,ONE,MAEU0168343,2026-07-21,2026-08-22,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
285,285,Evergreen,MAEU6014669,2026-08-09,2026-09-08,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
286,286,Maersk,MAEU7850242,2026-08-08,2026-09-09,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
287,287,Maersk,MAEU9394090,2025-12-24,2026-01-20,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
288,288,CMA CGM,MAEU3145236,2026-04-28,2026-05-23,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
289,289,CMA CGM,MAEU5910772,2026-04-02,2026-05-02,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
290,290,CMA CGM,MAEU7936764,2026-05-02,2026-06-01,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
291,291,Maersk,MAEU0390806,2025-10-03,2025-11-11,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
292,292,CMA CGM,MAEU7280187,2026-03-15,2026-04-14,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
293,293,CMA CGM,MAEU7745947,2025-12-10,2026-01-18,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
294,294,CMA CGM,MAEU8148045,2026-04-24,2026-05-19,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
295,295,CMA CGM,MAEU8884059,2026-08-02,2026-09-02,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
296,296,Maersk,MAEU9849861,2025-09-23,2025-10-23,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
297,297,ONE,MAEU3054341,2025-10-29,2025-12-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
298,298,Evergreen,MAEU4974053,2026-04-06,2026-05-06,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
299,299,Evergreen,MAEU8453241,2026-08-16,2026-09-24,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
300,300,CMA CGM,MAEU2876397,2025-10-04,2025-10-29,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
301,301,ONE,MAEU0478816,2026-04-03,2026-05-10,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
302,302,Maersk,MAEU5291560,2026-06-01,2026-07-10,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
303,303,Maersk,MAEU5060431,2026-01-09,2026-02-03,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
304,304,ONE,MAEU2156399,2025-10-26,2025-11-20,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
305,305,Evergreen,MAEU2461928,2025-12-21,2026-01-20,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
306,306,CMA CGM,MAEU5366082,2025-11-04,2025-12-04,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
307,307,Evergreen,MAEU8935537,2026-06-11,2026-07-18,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
308,308,ONE,MAEU1363019,2026-06-26,2026-07-23,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
309,309,ONE,MAEU5047599,2025-12-27,2026-01-21,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
310,310,CMA CGM,MAEU5972901,2025-12-28,2026-01-31,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
311,311,ONE,MAEU2321137,2026-05-30,2026-07-03,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
312,312,CMA CGM,MAEU8806438,2026-01-13,2026-02-09,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
313,313,ONE,MAEU2817435,2026-06-13,2026-07-10,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
314,314,Maersk,MAEU3549199,2026-04-04,2026-05-08,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
315,315,Evergreen,MAEU5481583,2026-03-09,2026-04-15,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
316,316,Evergreen,MAEU4656103,2026-06-02,2026-07-04,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
317,317,Evergreen,MAEU5557342,2026-07-27,2026-08-21,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
318,318,Maersk,MAEU4150175,2025-09-13,2025-10-17,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
319,319,CMA CGM,MAEU6197399,2026-06-14,2026-07-09,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
320,320,Maersk,MAEU2563312,2025-10-02,2025-11-02,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
321,321,ONE,MAEU6681359,2026-06-18,2026-07-13,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
322,322,Evergreen,MAEU6343463,2026-05-20,2026-06-23,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
323,323,ONE,MAEU2990811,2026-08-17,2026-09-30,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
324,324,Evergreen,MAEU2643249,2026-01-06,2026-02-17,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
325,325,CMA CGM,MAEU4699557,2026-04-17,2026-05-14,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
326,326,ONE,MAEU8597277,2025-11-27,2025-12-27,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
327,327,Maersk,MAEU2088979,2026-02-22,2026-03-26,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
328,328,Maersk,MAEU3611716,2025-11-01,2025-12-02,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
329,329,Maersk,MAEU6518806,2025-11-13,2025-12-22,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
330,330,Evergreen,MAEU6631508,2026-02-22,2026-03-19,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
331,331,CMA CGM,MAEU3310530,2025-10-29,2025-11-23,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
332,332,CMA CGM,MAEU5892606,2025-12-18,2026-01-18,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
333,333,ONE,MAEU9259639,2026-03-03,2026-04-06,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
334,334,Maersk,MAEU6799436,2026-03-06,2026-04-02,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
335,335,CMA CGM,MAEU8219196,2025-10-08,2025-11-07,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
336,336,CMA CGM,MAEU4732396,2026-02-24,2026-04-02,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
337,337,CMA CGM,MAEU6266776,2025-12-12,2026-01-11,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
338,338,Maersk,MAEU9583035,2026-02-10,2026-03-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
339,339,Evergreen,MAEU6628576,2026-06-10,2026-07-11,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
340,340,CMA CGM,MAEU1093217,2026-06-13,2026-07-13,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
341,341,Maersk,MAEU1594820,2026-08-15,2026-09-09,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
342,342,CMA CGM,MAEU1706072,2026-04-12,2026-05-14,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
343,343,Maersk,MAEU9208726,2026-01-28,2026-03-08,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
344,344,CMA CGM,MAEU2912704,2026-05-18,2026-07-01,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
345,345,ONE,MAEU1975434,2025-11-19,2025-12-23,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
346,346,Maersk,MAEU0959624,2026-05-10,2026-06-09,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
347,347,CMA CGM,MAEU5590184,2026-04-11,2026-05-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
348,348,Maersk,MAEU3444846,2026-08-10,2026-09-13,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
349,349,Maersk,MAEU6169255,2026-02-27,2026-04-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
350,350,CMA CGM,MAEU8380263,2025-10-16,2025-11-17,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
351,351,Evergreen,MAEU1996165,2026-07-20,2026-09-02,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
352,352,Evergreen,MAEU1964806,2026-02-12,2026-03-23,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
353,353,Maersk,MAEU1621605,2025-10-28,2025-12-01,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
354,354,CMA CGM,MAEU0823239,2026-06-09,2026-07-04,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
355,355,CMA CGM,MAEU2494574,2025-12-27,2026-02-02,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
356,356,CMA CGM,MAEU4345733,2026-07-21,2026-09-01,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
357,357,Maersk,MAEU2853594,2025-10-29,2025-12-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
358,358,ONE,MAEU5094522,2025-09-25,2025-11-03,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
359,359,Evergreen,MAEU4885464,2026-07-29,2026-08-25,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
360,360,Evergreen,MAEU5214644,2025-10-06,2025-11-14,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
361,361,CMA CGM,MAEU6938325,2026-01-19,2026-02-22,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
362,362,CMA CGM,MAEU9745251,2026-06-13,2026-07-27,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
363,363,Evergreen,MAEU5741127,2026-06-21,2026-07-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
364,364,Maersk,MAEU0080463,2026-02-09,2026-03-18,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
365,365,Maersk,MAEU1820335,2025-10-21,2025-12-02,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
366,366,CMA CGM,MAEU8912925,2026-04-10,2026-05-19,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
367,367,CMA CGM,MAEU1336670,2026-01-03,2026-02-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
368,368,Evergreen,MAEU3099577,2026-07-15,2026-08-14,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
369,369,Maersk,MAEU7345456,2026-01-02,2026-01-29,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
370,370,CMA CGM,MAEU9029736,2026-06-30,2026-07-27,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
371,371,CMA CGM,MAEU2882642,2026-03-10,2026-04-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
372,372,ONE,MAEU2267527,2026-07-29,2026-08-29,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
373,373,Maersk,MAEU3367489,2026-01-17,2026-02-13,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
374,374,Maersk,MAEU5603191,2025-09-16,2025-10-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
375,375,ONE,MAEU6361068,2026-01-04,2026-02-03,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
376,376,ONE,MAEU1965746,2026-02-01,2026-03-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
377,377,Maersk,MAEU5107013,2026-03-14,2026-04-13,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
378,378,Evergreen,MAEU2557935,2026-05-28,2026-07-01,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
379,379,ONE,MAEU8366887,2026-01-18,2026-02-18,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
380,380,Maersk,MAEU4101137,2026-06-15,2026-07-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
381,381,Maersk,MAEU9144626,2025-10-02,2025-11-15,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
382,382,ONE,MAEU0699741,2026-05-14,2026-06-10,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
383,383,ONE,MAEU6358703,2026-03-03,2026-04-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
384,384,Maersk,MAEU1718673,2026-07-07,2026-08-10,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
385,385,ONE,MAEU9114406,2026-06-13,2026-07-22,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
386,386,Evergreen,MAEU1372405,2026-05-09,2026-06-09,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
387,387,ONE,MAEU3322269,2026-06-14,2026-07-18,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
388,388,Maersk,MAEU8325746,2026-08-05,2026-09-04,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
389,389,CMA CGM,MAEU7116440,2025-10-25,2025-11-28,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
390,390,CMA CGM,MAEU9372147,2025-09-29,2025-10-24,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
391,391,ONE,MAEU0533656,2026-02-20,2026-03-26,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
392,392,ONE,MAEU6711036,2025-10-11,2025-11-05,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
393,393,CMA CGM,MAEU8736315,2026-08-05,2026-09-06,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
394,394,ONE,MAEU5626969,2026-07-25,2026-08-31,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
395,395,Evergreen,MAEU5023051,2025-11-27,2025-12-31,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
396,396,CMA CGM,MAEU9047397,2026-05-20,2026-06-20,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
397,397,CMA CGM,MAEU4118249,2026-01-03,2026-02-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
398,398,CMA CGM,MAEU1664873,2026-06-10,2026-07-07,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
399,399,Maersk,MAEU6603601,2026-01-27,2026-02-27,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
400,400,ONE,MAEU9010587,2026-07-10,2026-08-09,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
401,401,CMA CGM,MAEU1589187,2026-07-23,2026-08-17,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
402,402,Maersk,MAEU8993010,2026-08-15,2026-09-14,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
403,403,Maersk,MAEU9372940,2026-03-10,2026-04-09,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
404,404,Evergreen,MAEU4506041,2026-02-19,2026-04-02,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
405,405,Maersk,MAEU9790247,2026-04-11,2026-05-20,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
406,406,CMA CGM,MAEU9968813,2025-11-08,2025-12-20,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
407,407,Evergreen,MAEU7475331,2025-11-30,2026-01-03,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
408,408,ONE,MAEU1656354,2026-02-17,2026-03-28,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
409,409,Maersk,MAEU9288491,2025-12-30,2026-02-02,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
410,410,Maersk,MAEU7255628,2026-01-13,2026-02-21,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
411,411,Maersk,MAEU0951359,2026-01-13,2026-02-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
412,412,Maersk,MAEU3725190,2025-10-12,2025-11-15,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
413,413,Evergreen,MAEU8129998,2026-02-15,2026-03-29,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
414,414,CMA CGM,MAEU1773163,2025-09-25,2025-10-22,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
415,415,Evergreen,MAEU9313303,2026-05-12,2026-06-08,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
416,416,CMA CGM,MAEU9263246,2025-11-12,2025-12-14,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
417,417,Evergreen,MAEU3595188,2026-05-09,2026-06-10,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
418,418,Evergreen,MAEU2654392,2026-03-29,2026-04-30,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
419,419,Maersk,MAEU3788727,2025-11-01,2025-12-05,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
420,420,Maersk,MAEU7612519,2026-02-15,2026-03-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
421,421,CMA CGM,MAEU6538942,2026-01-04,2026-01-29,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
422,422,CMA CGM,MAEU4823927,2025-11-16,2025-12-17,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
423,423,Maersk,MAEU3942299,2026-03-13,2026-04-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
424,424,Evergreen,MAEU4638947,2026-06-01,2026-07-10,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
425,425,Maersk,MAEU2111667,2026-05-08,2026-06-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
426,426,Maersk,MAEU7208023,2026-04-30,2026-05-25,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
427,427,Maersk,MAEU4108839,2025-12-10,2026-01-09,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
428,428,Maersk,MAEU9102539,2026-06-23,2026-07-27,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
429,429,CMA CGM,MAEU4349578,2026-03-10,2026-04-06,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
